"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"model3",0,0,-5248.71205996019,135.597121844252,23.6632726945395,0.632851737205916,10497.4241199204,271.194243688503
"model2",-630.237587562881,43.2705045532276,-5878.94964752309,146.941547674151,18.0472163511457,0.549811050604989,11757.8992950462,293.883095348303
"model1",-1674.21147187671,61.4975155824419,-6922.92353183691,171.810048058958,24.6396452730664,0.830083932191094,13845.8470636738,343.620096117916
